"source","destination","targetPorts","bytesOut","bytesIn","durationSeconds","firstFlowDate","lastFlowDate","attemptCount"
"172.30.1.49","10.0.0.12",73,32464,608.5753425,20,"2013-04-03 06:49:17","2013-04-03 12:12:10",73
"172.30.2.65","10.0.0.11",76,32810,581.8157895,100,"2013-04-03 06:55:21","2013-04-03 12:12:37",76
"172.30.1.46","10.0.0.5",78,34428,613.025641,18,"2013-04-03 06:51:37","2013-04-03 12:13:51",78
"172.20.1.84","10.0.0.6",57,25775,616.7368421,18,"2013-04-03 06:49:32","2013-04-03 11:07:38",57
"10.0.0.7","172.30.1.91",1,632,391.0,0,"2013-04-03 09:48:58","2013-04-03 09:48:58",1
"172.10.2.105","10.0.0.5",118,50827,625.7966102,10,"2013-04-03 06:48:45","2013-04-03 15:17:11",118
"10.0.0.5","172.30.1.235",1,632,391.0,0,"2013-04-03 11:13:18","2013-04-03 11:13:18",1
"10.0.0.8","172.10.1.49",1,632,391.0,0,"2013-04-03 10:48:41","2013-04-03 10:48:41",1
"172.10.2.74","10.0.0.5",116,50217,623.1034483,37,"2013-04-03 06:50:03","2013-04-03 15:06:15",116
"172.20.1.28","10.0.0.14",71,32288,631.4788732,9,"2013-04-03 06:51:25","2013-04-03 11:12:50",71
"172.10.1.249","10.0.0.9",95,43397,629.1578947,20,"2013-04-03 06:50:44","2013-04-03 15:15:42",95
"172.10.1.240","10.0.0.11",83,38438,632.3493976,24,"2013-04-03 06:53:26","2013-04-03 14:57:02",83
"10.0.0.13","172.10.2.102",2,1204,238.0,0,"2013-04-03 09:33:35","2013-04-03 11:20:43",2
"172.10.2.128","10.0.0.13",107,46037,609.7757009,53,"2013-04-03 06:49:45","2013-04-03 15:08:53",107
"172.30.1.206","10.0.0.14",128,58050,632.09375,17,"2013-04-03 06:50:05","2013-04-03 15:08:25",128
"172.10.1.250","10.0.0.5",84,38281,629.3333333,20,"2013-04-03 06:48:42","2013-04-03 15:09:26",84
"10.1.0.76","172.10.1.183",1,633,392.0,0,"2013-04-03 10:50:13","2013-04-03 10:50:13",1
"172.10.1.193","10.0.0.13",65,29238,631.2153846,9,"2013-04-03 06:48:44","2013-04-03 15:09:57",65
"172.20.1.229","10.0.0.12",147,66968,628.7482993,64,"2013-04-03 06:48:59","2013-04-03 15:15:47",147
"172.20.1.48","10.0.0.5",67,30073,617.2835821,19,"2013-04-03 06:51:20","2013-04-03 11:29:57",67
"172.20.1.242","10.0.0.11",118,53856,628.1610169,48,"2013-04-03 06:50:13","2013-04-03 14:58:10",118
"172.20.1.4","10.0.0.7",80,36306,632.0,9,"2013-04-03 06:48:59","2013-04-03 11:15:04",80
"172.20.1.26","10.0.0.14",55,25200,625.5636364,37,"2013-04-03 06:49:18","2013-04-03 11:08:38",55
"172.30.2.140","10.0.0.6",72,31669,596.25,15,"2013-04-03 06:51:27","2013-04-03 12:12:37",72
"172.10.1.20","10.1.0.75",119,54202,632.092437,10,"2013-04-03 06:49:49","2013-04-03 15:15:49",119
"172.20.1.216","172.0.0.1",25,2430,97.2,18,"2013-04-03 00:22:54","2013-04-03 22:50:16",25
"172.10.1.46","172.0.0.1",1,270,0.0,0,"2013-04-03 06:36:21","2013-04-03 06:36:21",1
"172.30.1.253","10.0.0.6",116,52452,623.5689655,19,"2013-04-03 06:48:46","2013-04-03 14:51:08",116
"10.0.0.12","172.20.1.213",1,633,392.0,0,"2013-04-03 10:04:46","2013-04-03 10:04:46",1
"172.10.1.192","10.1.0.77",74,34056,630.0810811,9,"2013-04-03 06:48:45","2013-04-03 14:54:28",74
"172.10.1.63","10.0.0.9",106,48139,625.5283019,14,"2013-04-03 06:53:40","2013-04-03 15:01:26",106
"10.0.0.8","172.20.2.78",1,632,391.0,0,"2013-04-03 11:04:32","2013-04-03 11:04:32",1
"10.76.119.1","172.20.0.15",1229,1667606,48525.21074,224,"2013-04-03 00:22:11","2013-04-03 23:23:28",1229
"172.10.1.88","10.1.0.77",127,57550,627.9527559,20,"2013-04-03 06:49:27","2013-04-03 14:35:25",127
"10.0.0.7","172.30.1.225",2,1202,249.5,0,"2013-04-03 10:33:07","2013-04-03 11:27:20",2
"172.10.1.61","172.0.0.1",1,270,0.0,0,"2013-04-03 06:36:21","2013-04-03 06:36:21",1
"10.0.0.12","172.10.2.61",1,633,368.0,0,"2013-04-03 10:47:09","2013-04-03 10:47:09",1
"172.10.0.6","172.10.1.71",1,74,0.0,0,"2013-04-03 06:47:43","2013-04-03 06:47:43",1
"172.10.0.6","172.20.1.91",13,962,0.0,0,"2013-04-03 04:21:42","2013-04-03 21:17:27",13
"172.30.2.128","239.255.255.250",8,1750,0.0,6,"2013-04-03 06:36:07","2013-04-03 06:36:15",8
"10.0.0.5","172.30.2.91",1,632,391.0,0,"2013-04-03 10:49:05","2013-04-03 10:49:05",1
"172.30.1.243","10.0.0.9",125,56703,630.272,11,"2013-04-03 06:48:33","2013-04-03 15:08:44",125
"10.0.0.7","172.10.1.54",1,632,391.0,0,"2013-04-03 11:06:17","2013-04-03 11:06:17",1
"10.0.0.6","172.20.1.242",1,632,391.0,0,"2013-04-03 10:13:07","2013-04-03 10:13:07",1
"172.10.1.229","10.0.0.8",90,40670,620.5333333,22,"2013-04-03 06:50:03","2013-04-03 15:12:15",90
"172.10.2.136","10.0.0.10",87,37768,629.8045977,38,"2013-04-03 06:49:11","2013-04-03 15:17:21",87
"172.20.1.73","10.0.0.14",56,25492,615.5,15,"2013-04-03 06:55:16","2013-04-03 11:04:37",56
"10.0.0.13","172.20.2.145",1,633,392.0,0,"2013-04-03 10:52:14","2013-04-03 10:52:14",1
"172.30.2.90","172.30.0.4",6,1054,0.0,44,"2013-04-03 11:54:48","2013-04-03 11:58:43",6
"172.10.1.245","10.0.0.11",99,45080,621.9292929,14,"2013-04-03 06:53:38","2013-04-03 14:46:41",99
"172.20.2.86","10.0.0.12",56,25262,632.0357143,0,"2013-04-03 06:55:35","2013-04-03 11:18:39",56
"172.20.1.210","239.255.255.250",5,1225,0.0,6,"2013-04-03 06:37:16","2013-04-03 06:37:23",5
"172.30.2.61","10.0.0.5",71,30583,594.8732394,9,"2013-04-03 06:50:17","2013-04-03 12:12:36",71
"172.20.1.96","10.0.0.6",55,24815,614.0727273,24,"2013-04-03 06:50:01","2013-04-03 11:32:38",55
"172.30.2.82","10.1.0.75",74,32142,595.027027,24,"2013-04-03 06:48:46","2013-04-03 12:12:37",74
"10.0.0.7","172.10.1.107",2,1264,391.0,0,"2013-04-03 09:56:28","2013-04-03 11:45:16",2
"172.30.2.115","10.0.0.11",82,35704,596.8536585,221,"2013-04-03 06:52:24","2013-04-03 12:12:37",82
"172.10.1.73","10.0.0.7",97,43833,631.443299,0,"2013-04-03 06:58:30","2013-04-03 15:05:01",97
"172.10.1.112","10.0.0.11",59,26786,633.0,0,"2013-04-03 06:54:30","2013-04-03 14:53:24",59
"172.30.1.33","10.0.0.13",87,38822,611.8850575,36,"2013-04-03 06:49:48","2013-04-03 12:10:12",87
"172.10.1.231","10.0.0.7",80,36019,630.55,17,"2013-04-03 06:48:40","2013-04-03 15:17:03",80
"10.0.0.11","172.20.2.133",1,571,108.0,0,"2013-04-03 09:39:18","2013-04-03 09:39:18",1
"172.20.2.108","239.255.255.250",9,1925,0.0,6,"2013-04-03 06:37:10","2013-04-03 06:37:18",9
"10.0.0.12","172.10.1.228",1,633,392.0,0,"2013-04-03 09:50:24","2013-04-03 09:50:24",1
"172.30.2.83","10.0.0.7",69,30863,612.8985507,15,"2013-04-03 06:55:27","2013-04-03 12:06:37",69
"172.10.1.153","10.0.0.14",85,39342,633.0,12,"2013-04-03 06:50:04","2013-04-03 14:57:38",85
"172.30.1.128","239.255.255.250",8,2100,0.0,12,"2013-04-03 06:35:52","2013-04-03 06:43:26",8
"172.10.1.152","10.0.0.9",56,25663,630.0714286,17,"2013-04-03 06:56:26","2013-04-03 14:32:45",56
"172.10.1.149","10.0.0.10",92,42059,621.0869565,39,"2013-04-03 06:49:49","2013-04-03 15:02:06",92
"172.10.2.50","239.255.255.250",12,2450,0.0,6,"2013-04-03 06:36:41","2013-04-03 06:36:48",12
"10.0.0.14","172.30.1.169",1,571,108.0,0,"2013-04-03 11:21:44","2013-04-03 11:21:44",1
"10.0.0.8","172.20.1.35",1,570,108.0,0,"2013-04-03 10:10:36","2013-04-03 10:10:36",1
"10.0.0.11","172.20.1.31",1,633,392.0,0,"2013-04-03 10:00:29","2013-04-03 10:00:29",1
"172.10.1.27","10.0.0.12",105,47912,627.5619048,11,"2013-04-03 06:49:46","2013-04-03 14:54:21",105
"10.1.0.75","172.10.1.38",2,1266,392.0,0,"2013-04-03 10:20:51","2013-04-03 10:23:12",2
"172.10.0.6","172.30.1.198",4,296,0.0,0,"2013-04-03 01:13:21","2013-04-03 04:23:40",4
"172.30.1.206","172.30.0.4",2,248,0.0,8,"2013-04-03 11:58:25","2013-04-03 11:58:40",2
"10.250.178.101","172.20.0.15",757405,215566945,610.5479856,4554910,"2013-04-03 09:32:05","2013-04-03 11:40:44",757405
"10.0.0.12","172.30.1.111",3,1899,392.0,0,"2013-04-03 10:35:36","2013-04-03 11:44:34",3
"172.20.1.213","10.0.0.8",122,55307,627.2622951,65,"2013-04-03 06:49:56","2013-04-03 15:06:52",122
"172.10.1.22","10.0.0.8",104,47125,624.8846154,14,"2013-04-03 06:49:03","2013-04-03 15:09:25",104
"172.30.1.223","10.0.0.5",109,48557,610.8623853,42,"2013-04-03 06:49:24","2013-04-03 15:03:23",109
"172.30.1.98","10.1.0.75",75,33596,622.4,17,"2013-04-03 06:50:29","2013-04-03 12:06:25",75
"172.20.2.145","10.0.0.8",71,32163,631.2394366,4,"2013-04-03 06:49:19","2013-04-03 11:25:11",71
"10.15.7.85","172.20.0.15",5913507,1745706813,617.7965348,45529796,"2013-04-03 09:31:52","2013-04-03 23:57:49",5913507
"172.10.1.244","10.0.0.10",95,42968,625.7684211,15,"2013-04-03 06:49:25","2013-04-03 14:57:46",95
"172.30.1.65","10.0.0.6",60,27126,631.1,1,"2013-04-03 06:56:46","2013-04-03 12:09:26",60
"172.30.2.122","10.0.0.6",49,21544,594.5714286,29,"2013-04-03 06:48:10","2013-04-03 12:12:36",49
"10.0.0.14","172.30.1.156",2,1266,392.0,0,"2013-04-03 10:08:51","2013-04-03 10:38:37",2
"10.0.0.10","172.30.2.106",1,571,108.0,0,"2013-04-03 10:58:19","2013-04-03 10:58:19",1
"172.30.1.131","10.0.0.10",77,35026,624.1818182,7,"2013-04-03 06:50:08","2013-04-03 11:43:18",77
"172.10.1.148","10.1.0.75",66,30490,630.5454545,16,"2013-04-03 06:52:44","2013-04-03 14:45:07",66
"172.20.2.135","10.0.0.7",62,27808,626.516129,8,"2013-04-03 06:51:28","2013-04-03 11:04:54",62
"172.30.1.108","10.0.0.9",65,29108,623.1076923,4,"2013-04-03 06:52:16","2013-04-03 11:42:50",65
"172.10.1.223","10.0.0.8",116,52952,627.0172414,53,"2013-04-03 06:51:18","2013-04-03 14:52:14",116
"172.30.1.241","10.0.0.8",115,51820,628.173913,24,"2013-04-03 06:50:11","2013-04-03 15:05:36",115
"172.20.2.103","172.0.0.1",26,2700,90.0,18,"2013-04-03 01:23:43","2013-04-03 22:50:20",26
"172.10.2.56","10.0.0.5",98,42344,625.6326531,32,"2013-04-03 06:48:55","2013-04-03 15:03:29",98
"172.20.1.29","10.0.0.11",71,32572,633.0,30,"2013-04-03 06:51:59","2013-04-03 11:08:51",71
"172.30.1.57","10.0.0.10",70,31780,630.6857143,21,"2013-04-03 06:48:11","2013-04-03 12:09:39",70
"172.20.1.17","10.0.0.8",73,33648,624.9315068,30,"2013-04-03 06:51:49","2013-04-03 11:30:32",73
"172.20.1.7","10.0.0.12",70,32026,631.3428571,23,"2013-04-03 06:49:52","2013-04-03 11:22:41",70
"172.10.1.48","10.0.0.11",88,40260,625.8068182,44,"2013-04-03 06:50:08","2013-04-03 14:52:53",88
"172.10.2.102","10.0.0.5",125,53738,626.016,29,"2013-04-03 06:49:23","2013-04-03 15:01:36",125
"172.30.1.68","172.30.0.4",1,186,0.0,9,"2013-04-03 11:57:17","2013-04-03 11:57:17",1
"172.20.1.242","10.0.0.8",117,53796,631.5384615,58,"2013-04-03 06:55:24","2013-04-03 15:11:10",117
"172.30.2.99","10.0.0.12",74,32864,605.9864865,86,"2013-04-03 06:51:19","2013-04-03 12:12:37",74
"172.10.1.210","172.0.0.1",30,2970,99.0,48,"2013-04-03 01:31:31","2013-04-03 22:53:36",30
"10.0.0.11","172.10.1.68",1,633,392.0,0,"2013-04-03 09:50:08","2013-04-03 09:50:08",1
"172.10.1.92","10.0.0.10",81,36286,618.9012346,14,"2013-04-03 06:48:52","2013-04-03 14:55:10",81
"172.10.1.181","10.0.0.7",73,33069,630.5205479,15,"2013-04-03 06:49:31","2013-04-03 15:14:00",73
"172.20.1.3","10.0.0.9",72,31938,615.9444444,7,"2013-04-03 06:50:08","2013-04-03 11:03:32",72
"172.20.1.62","10.0.0.10",73,32634,624.3287671,0,"2013-04-03 06:49:18","2013-04-03 11:19:17",73
"172.10.2.70","10.0.0.8",107,45896,621.271028,19,"2013-04-03 06:49:08","2013-04-03 15:08:48",107
"172.10.1.53","10.1.0.100",97,44427,631.6082474,12,"2013-04-03 06:51:49","2013-04-03 15:12:33",97
"172.30.1.170","10.0.0.9",74,33360,623.4594595,9,"2013-04-03 06:49:25","2013-04-03 11:53:56",74
"10.0.0.11","172.30.1.83",1,633,392.0,0,"2013-04-03 11:34:06","2013-04-03 11:34:06",1
"172.20.1.228","10.0.0.5",129,58321,626.620155,71,"2013-04-03 06:52:51","2013-04-03 15:14:48",129
"172.10.1.148","10.0.0.8",87,39869,630.7586207,20,"2013-04-03 06:52:33","2013-04-03 14:47:22",87
"172.20.1.7","10.0.0.13",55,24908,620.5090909,53,"2013-04-03 06:49:35","2013-04-03 11:04:21",55
"172.10.2.130","10.0.0.5",113,48585,632.0,11,"2013-04-03 06:52:48","2013-04-03 15:16:26",113
"172.20.2.130","10.0.0.13",65,29534,625.8769231,20,"2013-04-03 06:51:46","2013-04-03 11:13:52",65
"10.0.0.14","172.20.1.81",1,633,446.0,17,"2013-04-03 10:41:39","2013-04-03 10:41:39",1
"172.10.1.159","10.0.0.14",63,29312,615.7301587,33,"2013-04-03 06:49:54","2013-04-03 14:56:23",63
"172.30.2.110","172.0.0.1",1,90,0.0,0,"2013-04-03 06:36:09","2013-04-03 06:36:09",1
"10.0.0.10","172.30.2.105",1,633,392.0,0,"2013-04-03 09:58:31","2013-04-03 09:58:31",1
"10.0.0.7","172.20.2.71",1,570,108.0,0,"2013-04-03 09:47:25","2013-04-03 09:47:25",1
"10.0.0.5","172.30.2.58",1,54,0.0,0,"2013-04-03 10:38:07","2013-04-03 10:38:07",1
"172.30.1.169","10.0.0.10",84,38404,614.5357143,29,"2013-04-03 06:51:33","2013-04-03 12:03:52",84
"172.20.1.243","10.0.0.12",111,50922,627.3693694,58,"2013-04-03 06:57:34","2013-04-03 15:17:30",111
"172.10.1.181","10.0.0.6",83,37491,625.7831325,0,"2013-04-03 06:51:12","2013-04-03 15:06:30",83
"172.30.1.60","10.0.0.9",87,38917,608.9655172,52,"2013-04-03 06:53:36","2013-04-03 12:11:29",87
"172.30.2.145","10.1.0.76",89,40074,611.8426966,33,"2013-04-03 06:50:54","2013-04-03 12:12:37",89
"172.30.1.75","10.0.0.9",87,38850,616.8505747,9,"2013-04-03 06:52:54","2013-04-03 12:09:16",87
"172.10.0.6","172.20.2.145",13,1058,0.0,0,"2013-04-03 04:22:15","2013-04-03 23:18:34",13
"10.0.0.6","172.30.2.90",2,686,195.5,0,"2013-04-03 10:09:07","2013-04-03 10:37:13",2
"172.10.1.6","10.0.0.5",115,52378,632.0,16,"2013-04-03 06:50:37","2013-04-03 14:50:44",115
"172.20.1.37","10.0.0.5",55,25198,631.0181818,12,"2013-04-03 06:50:08","2013-04-03 11:37:49",55
"172.30.2.48","10.0.0.12",75,32180,587.92,18,"2013-04-03 06:50:30","2013-04-03 12:12:36",75
"172.10.1.207","10.0.0.5",84,37607,623.8333333,9,"2013-04-03 06:53:48","2013-04-03 15:18:23",84
"172.30.1.192","10.0.0.6",76,33875,615.4736842,2,"2013-04-03 06:52:14","2013-04-03 12:00:38",76
"172.30.1.111","10.0.0.10",73,32918,616.5068493,33,"2013-04-03 06:48:37","2013-04-03 12:02:06",73
"10.0.0.7","172.30.1.68",2,1264,391.0,0,"2013-04-03 09:40:18","2013-04-03 11:00:34",2
"10.0.0.13","172.20.1.51",1,571,108.0,0,"2013-04-03 09:35:44","2013-04-03 09:35:44",1
"172.30.2.139","10.0.0.6",76,32616,594.4736842,75,"2013-04-03 06:48:13","2013-04-03 12:12:37",76
"172.10.0.6","172.30.1.48",12,888,0.0,0,"2013-04-03 04:57:36","2013-04-03 22:13:20",12
"172.30.1.215","172.0.0.1",29,2610,90.0,0,"2013-04-03 00:26:46","2013-04-03 23:06:00",29
"172.20.1.68","172.0.0.1",25,2610,104.4,19,"2013-04-03 00:45:07","2013-04-03 22:15:54",25
"172.10.1.102","10.0.0.5",71,32729,626.2535211,37,"2013-04-03 06:49:35","2013-04-03 14:50:01",71
"10.0.0.5","172.10.1.103",2,1264,391.0,0,"2013-04-03 10:41:27","2013-04-03 10:57:16",2
"172.20.1.231","10.0.0.5",117,53513,630.6153846,56,"2013-04-03 06:50:28","2013-04-03 14:56:27",117
"172.30.1.37","10.0.0.10",69,31556,632.2173913,27,"2013-04-03 06:50:12","2013-04-03 12:07:11",69
"172.30.1.247","10.0.0.11",129,58742,629.4108527,19,"2013-04-03 06:49:12","2013-04-03 15:09:28",129
"172.30.1.190","172.30.0.4",1,186,0.0,9,"2013-04-03 11:58:00","2013-04-03 11:58:00",1
"10.0.0.5","172.10.1.75",1,632,391.0,0,"2013-04-03 09:59:35","2013-04-03 09:59:35",1
"10.1.0.75","172.10.1.189",2,1204,250.0,0,"2013-04-03 09:44:01","2013-04-03 10:17:45",2
"172.10.1.2","10.0.0.11",113,51248,632.5221239,4,"2013-04-03 06:49:43","2013-04-03 15:13:24",113
"172.30.2.85","10.0.0.7",101,45022,613.8415842,28,"2013-04-03 06:50:39","2013-04-03 12:12:36",101
"172.20.2.77","10.7.5.5",61,3361879,2206607.967,2720,"2013-04-03 10:10:05","2013-04-03 11:09:28",61
"172.10.1.160","10.1.0.77",82,37512,626.695122,30,"2013-04-03 06:50:38","2013-04-03 15:12:17",82
"172.10.2.141","10.0.0.12",110,47420,632.5090909,10,"2013-04-03 06:51:07","2013-04-03 14:58:10",110
"172.30.1.243","10.0.0.11",109,49674,632.5045872,14,"2013-04-03 06:49:58","2013-04-03 15:07:51",109
"10.1.0.77","172.10.1.106",1,633,392.0,0,"2013-04-03 09:42:37","2013-04-03 09:42:37",1
"10.0.0.9","172.30.1.3",1,632,391.0,0,"2013-04-03 10:33:37","2013-04-03 10:33:37",1
"172.10.0.6","172.10.1.25",1,74,0.0,0,"2013-04-03 06:47:39","2013-04-03 06:47:39",1
"172.10.1.8","10.1.0.77",106,48246,627.6132075,14,"2013-04-03 06:51:10","2013-04-03 15:10:25",106
"172.20.2.90","239.255.255.250",2,700,0.0,6,"2013-04-03 06:37:11","2013-04-03 06:37:18",2
"172.10.1.100","172.0.0.1",1,270,0.0,0,"2013-04-03 06:36:21","2013-04-03 06:36:21",1
"172.30.1.189","10.0.0.8",90,40547,619.8444444,20,"2013-04-03 06:51:33","2013-04-03 11:48:01",90
"172.10.2.94","10.0.0.13",110,47336,630.9636364,24,"2013-04-03 06:50:25","2013-04-03 15:18:21",110
"172.10.0.6","172.30.1.190",6,444,0.0,0,"2013-04-03 01:13:17","2013-04-03 05:28:36",6
"172.10.2.137","10.0.0.9",110,47074,620.5818182,33,"2013-04-03 06:57:48","2013-04-03 15:02:53",110
"172.30.1.187","10.0.0.5",78,35622,623.8974359,38,"2013-04-03 06:54:52","2013-04-03 11:54:07",78
"172.30.2.143","10.0.0.14",63,27802,610.3333333,91,"2013-04-03 06:58:33","2013-04-03 12:12:37",63
"10.1.0.75","172.10.1.75",1,571,108.0,0,"2013-04-03 10:35:55","2013-04-03 10:35:55",1
"10.0.0.8","172.30.1.234",1,570,162.0,2,"2013-04-03 10:38:33","2013-04-03 10:38:33",1
"172.30.1.115","10.0.0.14",71,32126,625.7183099,2,"2013-04-03 06:48:05","2013-04-03 11:49:25",71
"172.10.1.81","10.0.0.14",93,42060,626.1935484,9,"2013-04-03 06:48:25","2013-04-03 15:01:08",93
"172.10.1.233","10.0.0.6",89,40600,631.3932584,13,"2013-04-03 06:50:29","2013-04-03 14:29:28",89
"172.10.1.32","10.0.0.11",110,49918,624.5818182,19,"2013-04-03 06:51:06","2013-04-03 15:00:11",110
"172.30.2.147","10.0.0.11",77,32822,585.5844156,165,"2013-04-03 06:50:02","2013-04-03 12:12:37",77
"10.0.0.13","172.10.1.89",2,1266,392.0,0,"2013-04-03 10:25:11","2013-04-03 11:03:48",2
"172.20.0.3","172.20.1.123",1,317,0.0,0,"2013-04-03 07:25:20","2013-04-03 07:25:20",1
"172.10.1.10","10.1.0.75",98,45014,632.4489796,25,"2013-04-03 06:52:49","2013-04-03 14:43:53",98
"172.20.2.137","10.7.5.5",67,3177320,1855925.06,2796,"2013-04-03 10:12:14","2013-04-03 11:16:34",67
"172.30.1.67","10.0.0.14",81,36774,631.6666667,78,"2013-04-03 07:03:23","2013-04-03 12:06:20",81
"172.10.1.248","10.0.0.12",73,32858,625.0684932,8,"2013-04-03 06:49:00","2013-04-03 14:55:47",73
"172.10.0.6","172.30.1.101",4,296,0.0,0,"2013-04-03 01:12:44","2013-04-03 05:28:02",4
"172.10.1.51","10.0.0.11",104,47906,632.4807692,21,"2013-04-03 06:51:42","2013-04-03 15:05:07",104
"172.20.2.122","10.0.0.5",66,29952,622.5454545,11,"2013-04-03 06:51:34","2013-04-03 11:14:13",66
"172.20.1.246","10.0.0.14",115,53372,628.0347826,119,"2013-04-03 06:49:43","2013-04-03 14:54:23",115
"172.10.1.209","10.0.0.14",87,40074,633.0,10,"2013-04-03 06:51:32","2013-04-03 15:15:00",87
"172.10.2.90","10.0.0.5",117,50175,622.1880342,40,"2013-04-03 06:53:06","2013-04-03 15:08:24",117
"172.30.1.96","10.0.0.13",81,35212,581.2592593,95,"2013-04-03 06:52:57","2013-04-03 12:08:19",81
"172.20.2.51","10.0.0.12",66,29634,622.5909091,20,"2013-04-03 06:52:03","2013-04-03 11:14:02",66
"172.30.1.26","10.0.0.13",84,38262,622.25,79,"2013-04-03 06:48:07","2013-04-03 12:10:42",84
"10.7.5.5","172.10.1.144",3,10626704,84540.33333,178,"2013-04-03 10:43:58","2013-04-03 11:26:18",3
"172.10.2.70","10.0.0.11",111,47838,632.5135135,7,"2013-04-03 06:49:32","2013-04-03 15:11:12",111
"172.30.2.131","10.1.0.76",69,30648,608.3913043,294,"2013-04-03 06:48:11","2013-04-03 12:12:37",69
"172.10.0.6","172.10.1.8",1,74,0.0,0,"2013-04-03 06:47:37","2013-04-03 06:47:37",1
"172.10.0.6","172.10.1.244",4,392,0.0,0,"2013-04-03 04:21:02","2013-04-03 21:16:43",4
"10.7.5.5","172.20.1.242",6,8586488,34817.16667,246,"2013-04-03 10:37:57","2013-04-03 12:04:23",6
"10.1.0.76","172.10.1.101",1,633,392.0,0,"2013-04-03 11:09:30","2013-04-03 11:09:30",1
"172.10.1.148","10.0.0.5",91,41398,625.7362637,11,"2013-04-03 06:50:24","2013-04-03 14:55:58",91
"10.7.5.5","172.20.1.39",5,2086851,10157.2,185,"2013-04-03 10:35:06","2013-04-03 11:00:05",5
"172.10.1.179","10.199.250.2",37,66038,75578.94595,20,"2013-04-03 07:15:53","2013-04-03 10:15:20",37
"10.0.0.8","172.10.1.21",1,632,391.0,0,"2013-04-03 10:16:43","2013-04-03 10:16:43",1
"172.30.2.138","10.0.0.11",95,41048,583.1157895,274,"2013-04-03 06:48:32","2013-04-03 12:12:37",95
"172.10.1.11","10.1.0.77",103,47356,622.4368932,30,"2013-04-03 06:48:22","2013-04-03 14:23:31",103
"172.10.2.108","10.0.0.9",91,39515,631.4065934,35,"2013-04-03 06:51:43","2013-04-03 14:57:17",91
"172.10.2.118","10.0.0.7",116,49873,627.5517241,27,"2013-04-03 06:49:19","2013-04-03 14:53:00",116
"10.7.5.5","172.20.1.97",3,1314978,10420.66667,126,"2013-04-03 11:01:16","2013-04-03 11:12:48",3
"172.20.2.137","10.0.0.6",82,36410,623.6341463,4,"2013-04-03 06:55:15","2013-04-03 11:12:25",82
"10.1.0.100","172.10.1.21",1,54,0.0,0,"2013-04-03 10:22:08","2013-04-03 10:22:08",1
"172.10.2.103","10.0.0.6",98,42108,626.1836735,33,"2013-04-03 06:52:00","2013-04-03 15:03:23",98
"172.30.1.209","172.0.0.1",29,2610,90.0,0,"2013-04-03 00:26:46","2013-04-03 23:06:00",29
"172.10.1.145","10.0.0.8",83,37612,617.5180723,14,"2013-04-03 06:56:23","2013-04-03 14:50:41",83
"172.10.1.152","10.1.0.100",80,36685,632.65,21,"2013-04-03 06:48:34","2013-04-03 15:08:08",80
"172.30.1.158","10.0.0.9",84,38052,632.0,2,"2013-04-03 06:53:33","2013-04-03 11:46:26",84
"10.0.0.8","172.30.1.132",2,1264,391.0,0,"2013-04-03 10:26:35","2013-04-03 11:37:41",2
"172.30.1.184","172.0.0.1",19,3870,198.9473684,34,"2013-04-03 00:59:25","2013-04-03 12:05:36",19
"172.10.2.49","10.0.0.6",105,45811,621.6571429,46,"2013-04-03 06:48:51","2013-04-03 14:41:47",105
"172.10.2.51","10.0.0.11",108,46512,625.4907407,14,"2013-04-03 06:51:59","2013-04-03 15:00:31",108
"172.20.2.73","10.0.0.13",83,37790,632.3493976,6,"2013-04-03 06:50:19","2013-04-03 11:12:20",83
"172.10.1.230","10.0.0.11",100,45872,631.92,25,"2013-04-03 06:49:24","2013-04-03 15:08:04",100
"172.20.0.15","10.138.214.18",2,51674,634.0,0,"2013-04-03 09:43:47","2013-04-03 11:39:53",2
"172.10.1.49","10.1.0.100",103,47381,632.9514563,10,"2013-04-03 06:48:25","2013-04-03 15:12:40",103
"172.30.1.96","10.0.0.14",68,30376,613.7058824,2,"2013-04-03 06:57:04","2013-04-03 12:08:57",68
"172.30.2.143","10.0.0.6",87,36639,581.5862069,174,"2013-04-03 06:50:14","2013-04-03 12:12:36",87
"172.10.0.6","172.30.2.48",13,1058,0.0,0,"2013-04-03 05:28:20","2013-04-03 23:16:16",13
"172.20.2.59","10.0.0.5",67,30809,623.4925373,45,"2013-04-03 06:50:02","2013-04-03 11:18:59",67
"172.30.2.135","10.0.0.9",89,39012,607.0561798,150,"2013-04-03 06:49:25","2013-04-03 12:12:37",89
"172.20.2.113","10.0.0.10",78,35358,624.9871795,10,"2013-04-03 06:50:52","2013-04-03 11:24:32",78
"172.10.1.203","10.0.0.12",86,38990,626.9883721,7,"2013-04-03 06:52:51","2013-04-03 14:43:22",86
"10.1.0.100","172.10.1.153",1,518,108.0,0,"2013-04-03 10:59:21","2013-04-03 10:59:21",1
"172.10.1.105","10.1.0.100",73,33620,632.5205479,12,"2013-04-03 06:54:36","2013-04-03 14:51:40",73
"172.10.1.101","10.0.0.8",81,37043,631.3333333,7,"2013-04-03 06:49:26","2013-04-03 14:58:19",81
"10.7.5.5","172.10.1.178",4,5254654,31043.5,113,"2013-04-03 10:40:27","2013-04-03 11:46:05",4
"172.30.1.105","239.255.255.250",5,1575,0.0,12,"2013-04-03 06:35:59","2013-04-03 12:05:33",5
"10.0.0.11","172.10.2.115",1,633,368.0,0,"2013-04-03 09:34:38","2013-04-03 09:34:38",1
